dummy,month,day,year,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront0,waterfront1,condition1,condition2,condition3,condition4,condition5,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,grade13,price
1,0.545454545,0.266666667,0,0.09375,0.275862069,0.246848739,0.00571485,0.4,0,0.276796231,0,0.773913043,0,0.368686869,0.76178221,0.394979079,0.4,0.011600845,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.9495
1,0.545454545,0.566666667,0,0.03125,0.275862069,0.234243697,0.002682357,0,0,0.109540636,0.477941176,0.226086957,0,0.631313131,0.68312691,0.112970711,0.318584071,0.004985411,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.65
1,0.545454545,0.2,0,0.125,0.172413793,0.134453782,0.001470814,0.2,0,0.150765607,0,0.017391304,0,0.722222222,0.707093453,0.174058577,0.226548673,0.003836699,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.43
1,0.272727273,0.9,1,0.09375,0.172413793,0.141806723,0.005468907,0,0,0.159010601,0,0.6,0,0.292929293,0.515521956,0.30041841,0.212389381,0.011556046,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.8
1,0.727272727,0.1,0,0.15625,0.24137931,0.363445378,0.006426026,0,0.5,0.243816254,0.511029412,0.539130435,0,0.035353535,0.690043429,0.335564854,0.361061947,0.011188458,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.87
1,0.090909091,0.766666667,1,0.09375,0.275862069,0.193277311,0.128687711,0,0,0.098939929,0.367647059,0.652173913,0,0.186868687,0.398906225,0.446861925,0.320353982,0.059787029,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.15
1,0.181818182,0.933333333,1,0.0625,0.275862069,0.234243697,0.013804931,0.2,1,0.209658422,0.165441176,0.104347826,0,0.732323232,0.552999839,0.112970711,0.219469027,0.016127921,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.4
1,0.909090909,0.4,0,0.09375,0.137931034,0.089285714,0.00262178,0,0,0.100117786,0,0.365217391,0,0.590909091,0.600450378,0.205020921,0.168141593,0.002687987,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
1,0.636363636,0.4,0,0.0625,0.310344828,0.280462185,0.014308327,0.4,0,0.314487633,0,0.756521739,0,0.166666667,0.892552678,0.241841004,0.408849558,0.005821674,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.25
1,0.363636364,0.1,1,0.03125,0.068965517,0.067226891,0.002929512,0,0,0.075382803,0,0.226086957,0,0.156565657,0.353868425,0.230962343,0.092035398,0.008201806,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.25
